Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C1,42.8759mm,31.5723mm,TopLayer,90
C2,45.9239mm,31.5723mm,TopLayer,90
C3,67.4854mm,32.2202mm,TopLayer,90
C4,71.5494mm,23.0762mm,TopLayer,360
C5,71.5444mm,19.7742mm,TopLayer,360
C6,74.1179mm,38.2253mm,TopLayer,270
C7,72.3399mm,41.5273mm,TopLayer,360
C8,72.3399mm,44.8293mm,TopLayer,360
C10,70.5619mm,37.4633mm,TopLayer,180
C11,72.8479mm,27.0493mm,TopLayer,360
C12,35.6115mm,75.4744mm,TopLayer,90
C13,35.6115mm,65.2763mm,TopLayer,90
C14,40.7169mm,65.2763mm,TopLayer,270
C15,36.1825mm,60.3233mm,TopLayer,90
C16,35.0019mm,60.3233mm,TopLayer,90
C17,10.2603mm,50.6713mm,TopLayer,360
C18,10.0972mm,52.3223mm,TopLayer,360
C19,8.4589mm,23.3028mm,TopLayer,270
C20,10.2369mm,23.3663mm,TopLayer,270
C21,27.3819mm,24.9812mm,TopLayer,360
C22,1.6009mm,23.1123mm,TopLayer,90
C23,2.2359mm,11.4918mm,TopLayer,270
C24,7.5699mm,11.3648mm,TopLayer,270
C25,25.3499mm,90.5493mm,TopLayer,90
C26,25.7944mm,83.5897mm,TopLayer,180
C27,31.1919mm,90.5493mm,TopLayer,90
C28,32.7159mm,90.5493mm,TopLayer,90
C29,41.8599mm,90.5493mm,TopLayer,90
C30,40.3359mm,90.5493mm,TopLayer,90
C31,49.4799mm,90.5493mm,TopLayer,90
C32,24.5879mm,58.9263mm,TopLayer,360
C33,66.2439mm,80.8973mm,TopLayer,90
C34,58.1159mm,75.3093mm,TopLayer,360
CARD1,8.1667mm,61.3694mm,TopLayer,180
D1,62.9134mm,19.7742mm,TopLayer,180
D2,71.5494mm,16.2182mm,TopLayer,180
D3,63.4499mm,29.8433mm,TopLayer,270
D4,4.9029mm,10.6663mm,TopLayer,90
D5,23.8259mm,91.3743mm,TopLayer,270
D6,23.8259mm,87.7553mm,TopLayer,270
D7,28.3979mm,91.3743mm,TopLayer,270
D8,28.3979mm,87.7553mm,TopLayer,270
D9,35.5099mm,91.3743mm,TopLayer,270
D10,44.6539mm,91.3113mm,TopLayer,270
D11,35.5099mm,87.7553mm,TopLayer,270
D12,44.6539mm,87.7553mm,TopLayer,270
D13,37.5419mm,91.3565mm,TopLayer,270
D14,46.6859mm,91.3113mm,TopLayer,270
D15,37.5419mm,87.7553mm,TopLayer,270
D16,46.6859mm,87.7553mm,TopLayer,270
D17,9.0939mm,89.2793mm,TopLayer,90
D18,12.9039mm,89.2793mm,TopLayer,90
D19,16.7139mm,89.2793mm,TopLayer,90
D20,20.6624mm,89.2793mm,TopLayer,90
D21,30.6839mm,27.6208mm,TopLayer,180
D22,5.3474mm,41.6543mm,TopLayer,90
D23,10.1099mm,41.6543mm,TopLayer,90
J1,38.4114mm,55.7513mm,TopLayer,180
J2,4.0139mm,91.0573mm,TopLayer,90
L1,63.4499mm,39.2413mm,TopLayer,90
L2,4.9029mm,16.0912mm,TopLayer,90
P2,38.2501mm,11.2907mm,TopLayer,360
P3,38.2499mm,98.2093mm,TopLayer,180
R1,69.8385mm,25.6269mm,TopLayer,180
R2,72.8479mm,38.2253mm,TopLayer,90
R3,74.6259mm,27.9383mm,TopLayer,90
R4,70.5619mm,38.7333mm,TopLayer,360
R6,31.1919mm,62.1013mm,TopLayer,270
R7,31.1919mm,59.3073mm,TopLayer,90
R8,2.2359mm,14.6668mm,TopLayer,90
R9,7.5699mm,14.6668mm,TopLayer,90
R10,26.6199mm,90.5493mm,TopLayer,270
R11,25.3499mm,87.7553mm,TopLayer,270
R12,26.6199mm,87.7553mm,TopLayer,90
R14,32.2079mm,80.8973mm,TopLayer,360
R15,29.9059mm,90.5493mm,TopLayer,270
R16,29.9219mm,87.7553mm,TopLayer,270
R17,31.1919mm,87.7553mm,TopLayer,90
R18,33.9779mm,90.5493mm,TopLayer,270
R19,43.1299mm,90.5493mm,TopLayer,270
R20,33.9779mm,87.7553mm,TopLayer,270
R21,43.1299mm,87.7553mm,TopLayer,270
R22,32.7159mm,87.7553mm,TopLayer,90
R23,41.8599mm,87.7553mm,TopLayer,90
R24,39.0659mm,90.5493mm,TopLayer,270
R25,48.2099mm,90.5493mm,TopLayer,270
R26,39.0659mm,87.7553mm,TopLayer,270
R27,48.2099mm,87.7553mm,TopLayer,270
R28,40.3359mm,87.7553mm,TopLayer,90
R29,49.4799mm,87.7553mm,TopLayer,90
R30,8.8172mm,74.2303mm,TopLayer,90
R31,13.6659mm,74.2303mm,TopLayer,90
R32,18.4919mm,74.2303mm,TopLayer,90
R33,23.3179mm,74.2303mm,TopLayer,90
R34,25.6039mm,70.6103mm,TopLayer,90
R35,2.6169mm,80.2623mm,TopLayer,90
R36,4.0139mm,80.2623mm,TopLayer,90
R37,64.7199mm,77.8493mm,TopLayer,90
R38,66.2439mm,77.8493mm,TopLayer,270
R39,59.7669mm,90.8033mm,TopLayer,270
R40,63.3229mm,74.8013mm,TopLayer,270
R42,63.3229mm,90.8033mm,TopLayer,270
R44,63.3229mm,80.8973mm,TopLayer,270
R47,63.3229mm,77.8493mm,TopLayer,90
R48,10.1099mm,53.4653mm,TopLayer,360
R49,27.3819mm,27.6843mm,TopLayer,180
R50,7.0619mm,52.5763mm,TopLayer,90
R51,4.7759mm,52.5763mm,TopLayer,90
R52,6.2999mm,45.0833mm,TopLayer,270
R53,8.8172mm,45.0833mm,TopLayer,270
R54,11.3604mm,45.0833mm,TopLayer,270
R55,13.5890mm,20.5740mm,TopLayer,180
U2,71.4174mm,32.0222mm,TopLayer,360
U3,38.3039mm,60.3741mm,TopLayer,90
U4,38.3039mm,64.4381mm,TopLayer,180
U5,38.2023mm,74.6489mm,TopLayer,180
U7,13.3350mm,23.2410mm,TopLayer,180
U8,21.5399mm,23.0762mm,TopLayer,270
U9,4.9029mm,23.1123mm,TopLayer,180
U10,30.6839mm,83.5897mm,TopLayer,90
U11,7.5699mm,80.2913mm,TopLayer,180
U12,12.3959mm,80.2913mm,TopLayer,180
U13,17.2219mm,80.2913mm,TopLayer,180
U14,22.0479mm,80.2913mm,TopLayer,180
U15,23.3179mm,64.3873mm,TopLayer,360
U16,57.9519mm,79.3093mm,TopLayer,90
